License Number,Status,License Type,Orig. Iss. Date,Expir. Date,Primary Owner,Premises Addr.,Business Name,Geo Code
420992,ACTIVE,48,03/03/2005,02/28/2027,AGSJ INC,"221 PARK RD,BURLINGAME, CA  94010Census Tract:  6055.02",VINYL ROOM THE,4103
445703,ACTIVE,47,11/19/2007,10/31/2026,CHIPOTLE MEXICAN GRILL INC,"135 S EL CAMINO REAL, # 105,MILLBRAE, CA  94030-3122Census Tract:  6049.00",CHIPOTLE MEXICAN GRILL,4108
462779,ACTIVE,41,02/05/2008,01/31/2027,MINGALABA INC,"1213 BURLINGAME AVE,BURLINGAME, CA  94010-4107Census Tract:  6055.02",MINGALABA,4103
473998,ACTIVE,41,03/13/2009,02/28/2027,GYROS INC,"1318 BURLINGAME AVE,BURLINGAME, CA  94010-4109Census Tract:  6055.01",MEDITERRANEAN KEBAB,4103
475451,ACTIVE,58,04/20/2009,03/31/2027,ROCCA KURTS BROTHERS INC,"1205 BROADWAY,BURLINGAME, CA  94010-3423Census Tract:  6051.00",RISTORANTE ROCCA,4103
475451,ACTIVE,47,04/20/2009,03/31/2027,ROCCA KURTS BROTHERS INC,"1205 BROADWAY,BURLINGAME, CA  94010-3423Census Tract:  6051.00",RISTORANTE ROCCA,4103
482521,ACTIVE,42,01/29/2010,03/31/2027,BEVERAGES & MORE INC,"1462 BURLINGAME AVE,BURLINGAME, CA  94010-4111Census Tract:  6055.01",BEVERAGES AND MORE INC,4103
500973,ACTIVE,86,09/08/2011,06/30/2027,SAFEWAY INC,"1450 HOWARD AVE,BURLINGAME, CA  94010Census Tract:  6055.02",SAFEWAY STORE #1547,4103
501632,ACTIVE,48,02/22/2011,01/31/2027,JNJL LLC,"303-305 CALIFORNIA AVE,BURLINGAME, CA  94010-4114Census Tract:  6055.01",BARREL HOUSE,4103
509753,SUSPEN,41,08/22/2011,07/31/2027,QUASAR RESTAURANT GROUP LLC,"1155 CALIFORNIA DR, UNIT G,BURLINGAME, CA  94010-3561Census Tract:  6051.00",MOKUTANYA,4103
516999,ACTIVE,41,03/06/2012,02/28/2027,"BINH DAI, INC.","219 EL CAMINO REAL,MILLBRAE, CA  94030-2607Census Tract:  6039.00",BEN TRE,4108
519106,ACTIVE,47,07/30/2012,06/30/2026,"THE PIZZA ALLIANCE 2, LLC","1108 BURLINGAME AVE,BURLINGAME, CA  94010-4106Census Tract:  6055.01",BLUE LINE PIZZA,4103
519802,ACTIVE,47,08/09/2012,01/31/2027,COCONUT BAY COMPANY INC,"1107 HOWARD AVE,BURLINGAME, CA  94010-4214Census Tract:  6055.02",COCONUT BAY,4103
520119,ACTIVE,41,06/13/2012,05/31/2027,GOOD WING CORPORATION,"1085 EL CAMINO REAL,MILLBRAE, CA  94030-2013Census Tract:  6044.00",WINGSTOP RESTAURANT,4108
521801,ACTIVE,41,06/27/2012,06/30/2027,PIZZA MY HEART INC,"235 PRIMROSE RD,BURLINGAME, CA  94010-4207Census Tract:  6055.02",PIZZA MY HEART,4103
522650,ACTIVE,86,05/30/2013,06/30/2027,SAFEWAY INC,"525 EL CAMINO REAL,MILLBRAE, CA  94030-2030Census Tract:  6039.00",SAFEWAY STORE #2878,4108
523154,ACTIVE,41,11/09/2012,10/31/2026,"NEW ENGLAND LOBSTER CO., INC","824 COWAN RD.,BURLINGAME, CA  94010-1205Census Tract:  6051.00",NEW ENGLAND LOBSTER MARKET,4103
